"Name","SM_Facebook_id","SM_Facebook_user"
"Jan Redmann","1490802567829660",janredmannwittstock
Sandra Ahrens,"1438499999720322",sandraahrensmdbb
Bernd Petelkau,"905495876266565",BPetelkau
Maik Beermann,"377947178928550",Beermann.Maik
,,ralf.plotner
"Anna Köbberling","217667028619039",annakoebberling
Jacqueline Bernhardt,"152874284780524",DIELINKEJacBe
Thomas Hering - Ihr Landtagsabgeordneter,"1111559752366447",Landtagsabgeordneter.Thomas.Hering
Bettina M. Wiesmann,"251835031928619",bmwiesmann
,,susann.enders.5
Doris Rauscher,"316654688365101",Doris.Rauscher.SPD
Stefan Evers,"365789826766113",berlingestalter
Der Wirth schafft,"1828235743888175",DerWirthschafft
Nicole Sieling CDU,"783906924960768",NicoleSielingCDU
Georg Maier,"1149212545200484",menschmaiermdl
Marc Schemmel,"144475006285925",m.schemmel
Martina Koeppen,"195746327106834",koeppen.spd
Lisa Badum,"99489241160",BadumLisa
Timm Kern,"1521377664822241",KernTimm
,,Peter.Stein.Bundestagskandidat
"Wolfgang Stefinger","353630558075336",wolfgangstefinger
Prenzlauer22,"248348861893780",prenzlauer22
"Kerstin Liebelt, SPD","124440024835831",kerstinliebeltspd
Gudrun Pieper,"1471559676505928",gudrunpieper.mdl
Thomas Palka,"984144121627838",Thomas.Palka.AfD
Thomas Kutschaty,"1560383867346023",Kutschaty
Markus Rösler,"138689789485910",Dr.MarkusRoesler
,,susan.leithoff
,,tatti.jessica
Marko D. Knudsen Romanes,"158388360904510","158388360904510"
,,armin.schuster
Eva Quante-Brandt,"964634470274784",EQuanteBrandt
Arne Moritz,"1409837702373344",moritz.sg
"Frank Müller-Rosentritt","638812666304504",Stolzer.Chemnitzer
,,wolfram.keil
Christoph Matschie,"265193333668500",matschie
Josef Zellmeier,"174209933245205",Josef Zellmeier
Karin Halsch,"113812192008005",Karin.Halsch
Eva-Maria Voigt-Küppers,"1925806824323650",voigtkueppers
"Bernhard Pohl","210127669084474",Bernhard.Pohl.MdL
,,gizycki
Andreas Rimkus,"103859252984490",andreasrimkusmdb
Ole-Christopher Plambeck,"233836206998102",ole.christopher.plambeck
,,torsten.czuppon
Renata Alt,"1264289176971421",AltRenata
,,rico.anton.3760
Axel Wintermeyer,"500398420561",axel.wintermeyer
Olaf Kießling,"715688205184488",olaf.kiessling.afd
